13168890 0  
13821580 0  38415 2  5243110 4  13112350 3  51210 0  3174324 0  15410165 5  2982645 2  56540 6  
13821580 1  56540 0  15410165 2  5243110 2  38415 7  3174324 2  2982645 7  13112350 1  51210 0  
13821580 1  56540 0  15410165 2  5243110 2  38415 7  13112350 1  2982645 7  51210 1  3174324 0  
13821580 1  56540 0  15410165 2  5243110 2  13112350 0  38415 4  2982645 7  51210 1  3174324 3  
13821580 1  56540 2  15410165 3  5243110 3  38415 1  51210 1  13112350 1  3174324 1  2982645 6  
13821580 1  56540 2  15410165 3  5243110 4  38415 0  51210 1  13112350 1  3174324 1  2982645 6  
13821580 1  38415 2  2982645 5  3174324 3  13112350 3  5243110 7  51210 1  15410165 0  56540 2  
13821580 1  38415 2  2982645 5  3174324 3  5243110 5  51210 1  13112350 3  15410165 4  56540 0  
13821580 1  38415 2  2982645 5  3174324 3  15410165 3  5243110 7  51210 1  13112350 1  56540 6  
13821580 1  38415 2  2982645 5  3174324 3  15410165 7  5243110 7  51210 1  13112350 1  56540 0  
13821580 1  3174324 1  2982645 5  38415 0  13112350 3  5243110 7  51210 1  15410165 0  56540 2  
13821580 1  3174324 1  2982645 5  38415 0  5243110 5  51210 1  13112350 3  15410165 4  56540 0  
13821580 1  3174324 1  2982645 5  38415 0  15410165 3  5243110 7  51210 1  13112350 1  56540 6  
13821580 1  3174324 1  2982645 5  38415 0  15410165 7  5243110 7  51210 1  13112350 1  56540 0  
13821580 1  51210 0  56540 5  2982645 1  5243110 1  15410165 7  13112350 2  3174324 3  38415 2  
13821580 1  51210 1  38415 0  13112350 2  15410165 7  3174324 2  2982645 7  5243110 6  56540 6  
13821580 1  51210 1  38415 0  13112350 2  15410165 7  5243110 5  56540 3  2982645 7  3174324 3  
13821580 2  51210 0  38415 1  2982645 1  5243110 3  15410165 6  13112350 0  3174324 3  56540 6  
13821580 4  15410165 2  56540 4  38415 1  13112350 1  3174324 2  5243110 7  2982645 4  51210 0  
13821580 4  38415 6  5243110 4  13112350 3  51210 0  3174324 0  15410165 5  2982645 2  56540 6  
13821580 4  51210 0  38415 5  3174324 1  5243110 3  13112350 3  15410165 0  56540 0  2982645 6  
13821580 4  51210 0  3174324 3  38415 7  5243110 3  13112350 3  15410165 0  56540 0  2982645 6  
13821580 7  56540 4  38415 6  15410165 3  5243110 3  51210 1  13112350 1  3174324 1  2982645 6  
2982645 0  56540 0  15410165 2  13112350 0  38415 4  3174324 2  5243110 2  51210 0  13821580 6  
2982645 0  56540 0  15410165 2  13821580 4  5243110 2  38415 6  13112350 1  3174324 3  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  38415 4  51210 1  13112350 0  5243110 4  3174324 3  
2982645 0  56540 0  15410165 2  13821580 4  38415 4  51210 1  13112350 1  3174324 2  5243110 0  
2982645 0  56540 0  15410165 2  13821580 4  38415 4  51210 1  3174324 0  5243110 2  13112350 3  
2982645 0  56540 0  15410165 2  13821580 4  38415 4  51210 1  3174324 1  13112350 2  5243110 6  
2982645 0  56540 0  15410165 2  13821580 4  3174324 1  13112350 0  51210 0  5243110 3  38415 6  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  13112350 1  38415 2  51210 0  5243110 6  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  13112350 1  38415 4  5243110 0  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  5243110 1  38415 3  13112350 1  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  5243110 2  13112350 1  38415 0  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  5243110 4  13112350 1  38415 6  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  5243110 7  38415 5  13112350 1  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  38415 1  5243110 3  13112350 1  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  38415 2  13112350 1  5243110 0  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  38415 4  13112350 1  5243110 6  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  3174324 2  38415 7  5243110 5  13112350 1  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  5243110 1  38415 3  3174324 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  5243110 2  3174324 0  38415 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  5243110 4  3174324 0  38415 6  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  5243110 7  38415 5  3174324 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 1  3174324 3  5243110 7  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 1  5243110 3  3174324 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 2  3174324 0  5243110 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 4  3174324 0  5243110 6  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 7  3174324 2  5243110 7  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  38415 7  5243110 5  3174324 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  3174324 0  5243110 2  38415 6  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  3174324 0  38415 5  5243110 7  
2982645 0  56540 0  15410165 2  13821580 4  13112350 1  51210 1  3174324 1  38415 3  5243110 7  
2982645 0  56540 0  15410165 2  13821580 4  13112350 2  5243110 6  38415 1  3174324 3  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 2  5243110 6  38415 7  3174324 2  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 2  5243110 6  3174324 0  38415 5  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 2  5243110 6  3174324 1  38415 3  51210 0  
2982645 0  56540 0  15410165 2  13821580 4  13112350 3  51210 1  3174324 1  5243110 6  38415 0  
2982645 0  51210 0  13821580 5  15410165 4  3174324 0  38415 3  13112350 3  5243110 0  56540 6  
2982645 0  51210 0  5243110 5  56540 7  13112350 1  15410165 1  13821580 5  3174324 1  38415 6  
2982645 0  51210 0  5243110 5  56540 7  13112350 1  3174324 1  15410165 0  13821580 0  38415 3  
2982645 0  51210 0  5243110 5  56540 7  13112350 1  3174324 1  38415 7  13821580 0  15410165 6  
